4NEC2 Output file:,/home/joea/.wine/drive_c/4nec2/out/owa_yagi_6el_circ.out
Zo:,50

THETA,PHI,VERT.,HOR.,TOTAL,AXIAL,TILT,SENSE,MAGNITUDE,PHASE,MAGNITUDE,PHASE
DEGREES,DEGREES,DB,DB,DB,RATIO,DEG.,VOLTS/M,DEGREES,VOLTS/M,DEGREES
-110.00,180.00,5.76,6.01,8.90,0.89629,-52.78,RIGHT,1.50417E+00,-58.94,1.54883E+00,-154.97
-105.00,180.00,6.53,6.45,9.50,0.93579,-41.22,RIGHT,1.64369E+00,-35.00,1.62941E+00,-128.76
-100.00,180.00,7.07,6.76,9.93,0.94968,-23.05,RIGHT,1.74914E+00,-11.05,1.68766E+00,-103.18
-95.00,180.00,7.39,6.94,10.18,0.94583,-10.49,RIGHT,1.81480E+00,12.76,1.72285E+00,-78.39
-90.00,180.00,7.49,7.00,10.26,0.94259,-6.94,RIGHT,1.83708E+00,36.28,1.73461E+00,-54.54
-85.00,180.00,7.39,6.94,10.18,0.94583,-10.49,RIGHT,1.81480E+00,59.33,1.72285E+00,-31.81
-80.00,180.00,7.07,6.76,9.93,0.94968,-23.05,RIGHT,1.74914E+00,81.74,1.68766E+00,-10.39
-75.00,180.00,6.53,6.45,9.50,0.93579,-41.22,RIGHT,1.64369E+00,103.31,1.62941E+00,9.54
-70.00,180.00,5.76,6.01,8.90,0.89629,-52.78,RIGHT,1.50417E+00,123.83,1.54882E+00,27.79
-65.00,180.00,4.74,5.42,8.10,0.83963,-58.42,RIGHT,1.33813E+00,143.07,1.44711E+00,44.16
-60.00,180.00,3.46,4.66,7.11,0.77225,-61.50,RIGHT,1.15452E+00,160.79,1.32617E+00,58.43
-55.00,180.00,1.88,3.71,5.90,0.69798,-63.49,RIGHT,9.63064E-01,176.71,1.18873E+00,70.35
-50.00,180.00,-0.02,2.54,4.46,0.61964,-65.01,RIGHT,7.73621E-01,-169.54,1.03857E+00,79.62
-45.00,180.00,-2.29,1.11,2.74,0.53960,-66.36,RIGHT,5.95516E-01,-158.40,8.80652E-01,85.84
-40.00,180.00,-4.98,-0.63,0.73,0.45993,-67.69,RIGHT,4.36884E-01,-150.56,7.21292E-01,88.39
-35.00,180.00,-8.13,-2.69,-1.60,0.38245,-69.08,RIGHT,3.04163E-01,-147.03,5.68511E-01,86.31
-30.00,180.00,-11.69,-5.06,-4.21,0.30832,-70.55,RIGHT,2.01725E-01,-149.42,4.32847E-01,77.92
-25.00,180.00,-15.43,-7.45,-6.81,0.23593,-72.07,RIGHT,1.31279E-01,-159.60,3.28800E-01,60.87
-20.00,180.00,-18.73,-9.06,-8.62,0.16016,-73.98,RIGHT,8.97176E-02,-177.25,2.73148E-01,34.54
-15.00,180.00,-21.37,-9.20,-8.94,0.08742,-77.04,RIGHT,6.61846E-02,163.10,2.68967E-01,5.06
-10.00,180.00,-24.33,-8.43,-8.32,0.03465,-81.11,RIGHT,4.70652E-02,146.57,2.93760E-01,-20.63
-5.00,180.00,-29.77,-7.63,-7.60,0.00597,-85.55,RIGHT,2.51670E-02,133.13,3.22235E-01,-42.46
0.00,180.00,-999.99,-7.12,-7.12,0.00000,90.00,LINEAR,3.48472E-12,-62.74,3.41411E-01,-62.74
-180.00,185.00,-28.32,-7.16,-7.12,0.00000,-85.00,LINEAR,2.97557E-02,-57.11,3.40109E-01,122.89
-175.00,185.00,-23.28,-7.66,-7.54,0.00583,-80.61,RIGHT,5.31189E-02,-36.95,3.21095E-01,145.12
-170.00,185.00,-20.65,-8.46,-8.20,0.03347,-76.33,RIGHT,7.19194E-02,-15.39,2.92851E-01,172.91
-165.00,185.00,-18.93,-9.22,-8.78,0.08362,-72.45,RIGHT,8.76511E-02,12.18,2.68094E-01,-151.49
-160.00,185.00,-17.02,-9.11,-8.46,0.15238,-69.55,RIGHT,1.09236E-01,46.32,2.71639E-01,-108.20
-155.00,185.00,-14.19,-7.53,-6.68,0.22416,-67.76,RIGHT,1.51316E-01,81.95,3.25840E-01,-64.08
-150.00,185.00,-10.80,-5.16,-4.11,0.29280,-66.34,RIGHT,2.23688E-01,113.47,4.28030E-01,-25.46
-145.00,185.00,-7.48,-2.80,-1.53,0.36319,-64.97,RIGHT,3.27570E-01,140.51,5.61702E-01,8.02
-140.00,185.00,-4.53,-0.73,0.78,0.43712,-63.65,RIGHT,4.60022E-01,164.86,7.12449E-01,38.50
-135.00,185.00,-1.99,1.00,2.77,0.51370,-62.35,RIGHT,6.16294E-01,-172.05,8.69792E-01,67.45
-130.00,185.00,0.17,2.43,4.46,0.59131,-60.99,RIGHT,7.90199E-01,-149.39,1.02577E+00,95.61
-125.00,185.00,1.98,3.61,5.88,0.66800,-59.40,RIGHT,9.74226E-01,-126.72,1.17413E+00,123.32
-120.00,185.00,3.50,4.56,7.07,0.74146,-57.32,RIGHT,1.15983E+00,-103.87,1.30994E+00,150.70
-115.00,185.00,4.74,5.31,8.05,0.80883,-54.22,RIGHT,1.33787E+00,-80.76,1.42948E+00,177.78
-110.00,185.00,5.73,5.90,8.83,0.86641,-49.11,RIGHT,1.49919E+00,-57.42,1.53002E+00,-155.53
-105.00,185.00,6.48,6.35,9.42,0.90902,-40.25,RIGHT,1.63516E+00,-33.94,1.60969E+00,-129.33
-100.00,185.00,7.01,6.65,9.85,0.93112,-27.09,RIGHT,1.73829E+00,-10.44,1.66727E+00,-103.75
-95.00,185.00,7.33,6.83,10.10,0.93574,-15.05,RIGHT,1.80270E+00,12.95,1.70207E+00,-78.96
-90.00,185.00,7.43,6.89,10.18,0.93625,-9.01,RIGHT,1.82448E+00,36.06,1.71370E+00,-55.11
-85.00,185.00,7.33,6.83,10.10,0.94165,-9.17,RIGHT,1.80202E+00,58.70,1.70207E+00,-32.39
-80.00,185.00,7.00,6.65,9.84,0.95159,-17.68,RIGHT,1.73610E+00,80.68,1.66727E+00,-10.96
-75.00,185.00,6.45,6.35,9.41,0.95029,-37.90,RIGHT,1.62994E+00,101.81,1.60968E+00,8.98
-70.00,185.00,5.67,5.90,8.80,0.91843,-54.32,RIGHT,1.48904E+00,121.85,1.53002E+00,27.24
-65.00,185.00,4.63,5.31,8.00,0.86475,-61.55,RIGHT,1.32093E+00,140.58,1.42948E+00,43.61
-60.00,185.00,3.31,4.56,6.99,0.79853,-65.06,RIGHT,1.13473E+00,157.73,1.30994E+00,57.89
-55.00,185.00,1.68,3.61,5.76,0.72422,-67.20,RIGHT,9.40542E-01,173.01,1.17413E+00,69.81
-50.00,185.00,-0.30,2.43,4.29,0.64482,-68.81,RIGHT,7.48760E-01,-173.93,1.02577E+00,79.09
-45.00,185.00,-2.68,1.00,2.55,0.56279,-70.23,RIGHT,5.69274E-01,-163.57,8.69788E-01,85.30
-40.00,185.00,-5.52,-0.73,0.51,0.48038,-71.66,RIGHT,4.10675E-01,-156.59,7.12444E-01,87.85
-35.00,185.00,-8.86,-2.80,-1.84,0.39967,-73.16,RIGHT,2.79557E-01,-154.02,5.61698E-01,85.74
-30.00,185.00,-12.69,-5.16,-4.45,0.32204,-74.75,RIGHT,1.79907E-01,-157.46,4.28028E-01,77.31
-25.00,185.00,-16.79,-7.53,-7.04,0.24598,-76.40,RIGHT,1.12238E-01,-168.66,3.25840E-01,60.22
-20.00,185.00,-20.70,-9.11,-8.82,0.16625,-78.44,RIGHT,7.15451E-02,172.88,2.71642E-01,33.94
-15.00,185.00,-24.54,-9.22,-9.10,0.09001,-81.70,RIGHT,4.59668E-02,152.25,2.68100E-01,4.66
-10.00,185.00,-30.49,-8.46,-8.43,0.03528,-85.95,RIGHT,2.31594E-02,132.53,2.92857E-01,-20.84
-5.00,185.00,-46.99,-7.66,-7.66,0.00599,89.48,RIGHT,3.46894E-03,-8.87,3.21100E-01,-42.54
0.00,185.00,-28.32,-7.16,-7.12,0.00000,85.00,LINEAR,2.97559E-02,-62.74,3.40112E-01,-62.74
-180.00,190.00,-22.33,-7.26,-7.12,0.00000,-80.00,LINEAR,5.92849E-02,-57.11,3.36221E-01,122.89
-175.00,190.00,-19.63,-7.75,-7.48,0.00557,-75.71,RIGHT,8.09441E-02,-36.47,3.17693E-01,144.86
-170.00,190.00,-18.06,-8.54,-8.08,0.03179,-71.60,RIGHT,9.69749E-02,-13.78,2.90139E-01,172.29
-165.00,190.00,-16.99,-9.31,-8.62,0.07877,-67.92,RIGHT,1.09646E-01,14.51,2.65515E-01,-152.67
-160.00,190.00,-15.57,-9.25,-8.34,0.14308,-65.16,RIGHT,1.29173E-01,49.07,2.67234E-01,-109.97
-155.00,190.00,-13.13,-7.76,-6.65,0.21080,-63.46,RIGHT,1.71001E-01,85.06,3.17197E-01,-66.04
-150.00,190.00,-10.04,-5.45,-4.15,0.27555,-62.14,RIGHT,2.44133E-01,116.88,4.13912E-01,-27.30
-145.00,190.00,-6.96,-3.11,-1.61,0.34187,-60.85,RIGHT,3.48095E-01,144.01,5.41703E-01,6.31
-140.00,190.00,-4.19,-1.06,0.66,0.41179,-59.56,RIGHT,4.78690E-01,168.24,6.86449E-01,36.87
-135.00,190.00,-1.79,0.67,2.62,0.48471,-58.26,RIGHT,6.30718E-01,-168.93,8.37849E-01,65.84
-130.00,190.00,0.25,2.11,4.29,0.55915,-56.84,RIGHT,7.98218E-01,-146.62,9.88120E-01,94.00
-125.00,190.00,1.99,3.28,5.69,0.63326,-55.14,RIGHT,9.74356E-01,-124.38,1.13116E+00,121.70
-120.00,190.00,3.44,4.23,6.86,0.70472,-52.90,RIGHT,1.15147E+00,-101.97,1.26218E+00,149.07
-115.00,190.00,4.63,4.99,7.83,0.77065,-49.71,RIGHT,1.32129E+00,-79.31,1.37756E+00,176.12
-110.00,190.00,5.59,5.58,8.60,0.82745,-44.93,RIGHT,1.47536E+00,-56.42,1.47464E+00,-157.21
-105.00,190.00,6.32,6.03,9.19,0.87088,-37.80,RIGHT,1.60553E+00,-33.38,1.55160E+00,-131.03
-100.00,190.00,6.84,6.33,9.61,0.89769,-28.46,RIGHT,1.70449E+00,-10.29,1.60724E+00,-105.47
-95.00,190.00,7.15,6.51,9.85,0.90997,-19.30,RIGHT,1.76629E+00,12.69,1.64087E+00,-80.68
-90.00,190.00,7.25,6.57,9.94,0.91620,-13.20,RIGHT,1.78679E+00,35.39,1.65212E+00,-56.84
-85.00,190.00,7.14,6.51,9.85,0.92452,-11.35,RIGHT,1.76404E+00,57.63,1.64087E+00,-34.11
-80.00,190.00,6.81,6.33,9.59,0.93789,-15.28,RIGHT,1.69844E+00,79.20,1.60724E+00,-12.67
-75.00,190.00,6.25,6.03,9.15,0.94897,-29.95,RIGHT,1.59287E+00,99.87,1.55160E+00,7.28
-70.00,190.00,5.45,5.58,8.53,0.93294,-51.27,RIGHT,1.45262E+00,119.43,1.47464E+00,25.55
-65.00,190.00,4.39,4.99,7.71,0.88587,-62.56,RIGHT,1.28509E+00,137.63,1.37756E+00,41.95
-60.00,190.00,3.03,4.23,6.69,0.82195,-67.55,RIGHT,1.09947E+00,154.18,1.26218E+00,56.25
-55.00,190.00,1.35,3.28,5.43,0.74803,-70.32,RIGHT,9.06039E-01,168.77,1.13115E+00,68.20
-50.00,190.00,-0.70,2.11,3.94,0.66772,-72.26,RIGHT,7.15482E-01,-178.97,9.88116E-01,77.48
-45.00,190.00,-3.17,0.67,2.17,0.58379,-73.91,RIGHT,5.37986E-01,-169.57,8.37845E-01,83.70
-40.00,190.00,-6.14,-1.06,0.12,0.49874,-75.53,RIGHT,3.82344E-01,-163.75,6.86445E-01,86.22
-35.00,190.00,-9.65,-3.11,-2.24,0.41492,-77.20,RIGHT,2.55112E-01,-162.65,5.41700E-01,84.03
-30.00,190.00,-13.72,-5.45,-4.85,0.33393,-78.95,RIGHT,1.59793E-01,-167.93,4.13910E-01,75.47
-25.00,190.00,-18.17,-7.76,-7.38,0.25417,-80.73,RIGHT,9.57248E-02,178.58,3.17198E-01,58.26
-20.00,190.00,-22.79,-9.25,-9.06,0.17044,-82.95,RIGHT,5.62540E-02,156.92,2.67238E-01,32.17
-15.00,190.00,-28.43,-9.31,-9.25,0.09128,-86.42,RIGHT,2.93791E-02,127.57,2.65520E-01,3.48
-10.00,190.00,-36.86,-8.54,-8.53,0.03530,89.14,RIGHT,1.11230E-02,45.61,2.90145E-01,-21.47
-5.00,190.00,-28.03,-7.75,-7.71,0.00587,84.48,RIGHT,3.07458E-02,-39.29,3.17698E-01,-42.80
0.00,190.00,-22.33,-7.26,-7.12,0.00000,80.00,LINEAR,5.92854E-02,-62.74,3.36224E-01,-62.74
-180.00,195.00,-18.86,-7.42,-7.12,0.00000,-75.00,LINEAR,8.83629E-02,-57.11,3.29775E-01,122.89
-175.00,195.00,-17.08,-7.90,-7.41,0.00520,-70.84,RIGHT,1.08455E-01,-36.52,3.12035E-01,144.44
-170.00,195.00,-16.06,-8.67,-7.95,0.02968,-66.92,RIGHT,1.22020E-01,-13.45,2.85612E-01,171.26
-165.00,195.00,-15.39,-9.45,-8.46,0.07304,-63.45,RIGHT,1.31873E-01,14.98,2.61281E-01,-154.61
-160.00,195.00,-14.33,-9.48,-8.25,0.13247,-60.82,RIGHT,1.48975E-01,49.53,2.60254E-01,-112.90
-155.00,195.00,-12.25,-8.14,-6.72,0.19598,-59.18,RIGHT,1.89307E-01,85.80,3.03553E-01,-69.34
-150.00,195.00,-9.44,-5.93,-4.33,0.25672,-57.95,RIGHT,2.61558E-01,118.15,3.91489E-01,-30.43
-145.00,195.00,-6.57,-3.64,-1.85,0.31860,-56.73,RIGHT,3.63995E-01,145.70,5.09810E-01,3.41
-140.00,195.00,-3.96,-1.60,0.39,0.38396,-55.48,RIGHT,4.91215E-01,170.14,6.44894E-01,34.10
-135.00,195.00,-1.70,0.13,2.32,0.45249,-54.15,RIGHT,6.37464E-01,-167.03,7.86730E-01,63.14
-130.00,195.00,0.24,1.56,3.96,0.52285,-52.67,RIGHT,7.96895E-01,-144.87,9.27809E-01,91.30
-125.00,195.00,1.89,2.74,5.34,0.59323,-50.87,RIGHT,9.63278E-01,-122.88,1.06228E+00,118.98
-120.00,195.00,3.27,3.69,6.50,0.66135,-48.53,RIGHT,1.12982E+00,-100.80,1.18559E+00,146.32
-115.00,195.00,4.42,4.45,7.44,0.72439,-45.36,RIGHT,1.28919E+00,-78.51,1.29427E+00,173.33
-110.00,195.00,5.34,5.04,8.21,0.77902,-41.00,RIGHT,1.43374E+00,-56.00,1.38578E+00,-160.03
-105.00,195.00,6.05,5.49,8.79,0.82200,-35.24,RIGHT,1.55590E+00,-33.34,1.45835E+00,-133.87
-100.00,195.00,6.55,5.80,9.20,0.85158,-28.43,RIGHT,1.64870E+00,-10.64,1.51085E+00,-108.33
-95.00,195.00,6.85,5.98,9.45,0.86965,-21.79,RIGHT,1.70627E+00,11.96,1.54259E+00,-83.56
-90.00,195.00,6.94,6.04,9.52,0.88182,-16.81,RIGHT,1.72439E+00,34.27,1.55321E+00,-59.72
-85.00,195.00,6.82,5.98,9.43,0.89429,-14.47,RIGHT,1.70086E+00,56.11,1.54259E+00,-36.99
-80.00,195.00,6.49,5.80,9.16,0.91082,-15.81,RIGHT,1.63582E+00,77.27,1.51085E+00,-15.54
-75.00,195.00,5.92,5.49,8.72,0.92976,-23.73,RIGHT,1.53189E+00,97.50,1.45835E+00,4.43
-70.00,195.00,5.10,5.04,8.08,0.93474,-42.44,RIGHT,1.39412E+00,116.58,1.38577E+00,22.74
-65.00,195.00,4.01,4.45,7.25,0.90273,-60.03,RIGHT,1.22978E+00,134.24,1.29427E+00,39.17
-60.00,195.00,2.62,3.69,6.20,0.84367,-68.40,RIGHT,1.04797E+00,150.17,1.18559E+00,53.50
-55.00,195.00,0.89,2.74,4.92,0.77059,-72.60,RIGHT,8.58987E-01,164.03,1.06228E+00,65.48
-50.00,195.00,-1.22,1.56,3.40,0.68927,-75.26,RIGHT,6.73515E-01,175.40,9.27805E-01,74.78
-45.00,195.00,-3.78,0.13,1.61,0.60322,-77.36,RIGHT,5.01746E-01,-176.32,7.86726E-01,80.99
-40.00,195.00,-6.85,-1.60,-0.46,0.51534,-79.28,RIGHT,3.52382E-01,-171.95,6.44890E-01,83.45
-35.00,195.00,-10.49,-3.64,-2.83,0.42833,-81.20,RIGHT,2.31690E-01,-172.78,5.09807E-01,81.13
-30.00,195.00,-14.71,-5.93,-5.39,0.34396,-83.13,RIGHT,1.42549E-01,179.27,3.91487E-01,72.35
-25.00,195.00,-19.39,-8.14,-7.83,0.26033,-85.08,RIGHT,8.32095E-02,161.96,3.03554E-01,54.96
-20.00,195.00,-24.48,-9.48,-9.35,0.17253,-87.51,RIGHT,4.62998E-02,132.94,2.60258E-01,29.24
-15.00,195.00,-30.02,-9.45,-9.41,0.09112,88.77,RIGHT,2.44552E-02,78.44,2.61286E-01,1.55
-10.00,195.00,-28.02,-8.67,-8.62,0.03470,84.17,RIGHT,3.08002E-02,-3.52,2.85617E-01,-22.50
-5.00,195.00,-22.49,-7.90,-7.76,0.00563,79.44,RIGHT,5.81727E-02,-41.44,3.12039E-01,-43.23
0.00,195.00,-18.86,-7.42,-7.12,0.00000,75.00,LINEAR,8.83637E-02,-62.74,3.29778E-01,-62.74
-180.00,200.00,-16.44,-7.66,-7.12,0.00000,-70.00,LINEAR,1.16768E-01,-57.11,3.20819E-01,122.89
-175.00,200.00,-15.15,-8.13,-7.34,0.00474,-65.99,RIGHT,1.35478E-01,-36.89,3.04141E-01,143.84
-170.00,200.00,-14.45,-8.87,-7.81,0.02721,-62.28,RIGHT,1.46922E-01,-13.95,2.79256E-01,169.84
-165.00,200.00,-14.03,-9.64,-8.29,0.06661,-59.02,RIGHT,1.54196E-01,14.12,2.55470E-01,-157.26
-160.00,200.00,-13.26,-9.79,-8.18,0.12078,-56.51,RIGHT,1.68380E-01,48.13,2.51177E-01,-116.96
-155.00,200.00,-11.53,-8.66,-6.85,0.17984,-54.93,RIGHT,2.05621E-01,84.41,2.85972E-01,-74.03
-150.00,200.00,-9.01,-6.61,-4.63,0.23645,-53.77,RIGHT,2.74854E-01,117.36,3.62340E-01,-34.93
-145.00,200.00,-6.34,-4.38,-2.24,0.29357,-52.62,RIGHT,3.73764E-01,145.57,4.68079E-01,-0.77
-140.00,200.00,-3.88,-2.37,-0.05,0.35382,-51.41,RIGHT,4.95936E-01,170.46,5.90325E-01,30.14
-135.00,200.00,-1.73,-0.65,1.85,0.41720,-50.09,RIGHT,6.34995E-01,-166.48,7.19464E-01,59.27
-130.00,200.00,0.11,0.78,3.47,0.48253,-48.57,RIGHT,7.85049E-01,-144.27,8.48341E-01,87.46
-125.00,200.00,1.68,1.96,4.83,0.54806,-46.73,RIGHT,9.40310E-01,-122.38,9.71445E-01,115.12
-120.00,200.00,3.00,2.92,5.97,0.61159,-44.41,RIGHT,1.09475E+00,-100.48,1.08450E+00,142.42
-115.00,200.00,4.09,3.68,6.90,0.67051,-41.41,RIGHT,1.24191E+00,-78.45,1.18425E+00,169.40
-110.00,200.00,4.98,4.28,7.65,0.72201,-37.58,RIGHT,1.37502E+00,-56.24,1.26833E+00,-164.01
-105.00,200.00,5.66,4.72,8.23,0.76373,-32.95,RIGHT,1.48717E+00,-33.91,1.33506E+00,-137.89
-100.00,200.00,6.14,5.03,8.63,0.79488,-27.86,RIGHT,1.57188E+00,-11.55,1.38337E+00,-112.38
-95.00,200.00,6.42,5.21,8.87,0.81716,-23.02,RIGHT,1.62354E+00,10.70,1.41258E+00,-87.63
-90.00,200.00,6.50,5.27,8.94,0.83452,-19.20,RIGHT,1.63800E+00,32.65,1.42235E+00,-63.79
-85.00,200.00,6.36,5.21,8.84,0.85154,-17.06,RIGHT,1.61301E+00,54.12,1.41258E+00,-41.05
-80.00,200.00,6.01,5.03,8.56,0.87174,-17.28,RIGHT,1.54857E+00,74.88,1.38337E+00,-19.59
-75.00,200.00,5.42,4.72,8.10,0.89590,-21.36,RIGHT,1.44712E+00,94.69,1.33506E+00,0.41
-70.00,200.00,4.58,4.28,7.44,0.91702,-33.05,RIGHT,1.31354E+00,113.29,1.26832E+00,18.76
-65.00,200.00,3.46,3.68,6.58,0.91049,-52.78,RIGHT,1.15490E+00,130.40,1.18425E+00,35.23
-60.00,200.00,2.04,2.92,5.51,0.86331,-66.86,RIGHT,9.80119E-01,145.69,1.08450E+00,49.61
-55.00,200.00,0.26,1.96,4.20,0.79271,-73.79,RIGHT,7.99269E-01,158.78,9.71441E-01,61.62
-50.00,200.00,-1.90,0.78,2.65,0.71033,-77.74,RIGHT,6.22805E-01,169.18,8.48338E-01,70.94
-45.00,200.00,-4.52,-0.65,0.84,0.62168,-80.54,RIGHT,4.60605E-01,176.22,7.19460E-01,77.12
-40.00,200.00,-7.66,-2.37,-1.24,0.53053,-82.91,RIGHT,3.20970E-01,178.90,5.90321E-01,79.49
-35.00,200.00,-11.36,-4.38,-3.59,0.44005,-85.15,RIGHT,2.09627E-01,175.74,4.68076E-01,76.96
-30.00,200.00,-15.60,-6.61,-6.09,0.35210,-87.31,RIGHT,1.28690E-01,164.50,3.62338E-01,67.85
-25.00,200.00,-20.22,-8.66,-8.37,0.26424,-89.45,RIGHT,7.56151E-02,142.21,2.85973E-01,50.27
-20.00,200.00,-24.86,-9.79,-9.66,0.17230,87.86,RIGHT,4.42828E-02,103.31,2.51181E-01,25.18
-15.00,200.00,-26.74,-9.64,-9.56,0.08945,83.88,RIGHT,3.56776E-02,39.27,2.55475E-01,-1.10
-10.00,200.00,-23.07,-8.87,-8.71,0.03348,79.12,RIGHT,5.44627E-02,-13.66,2.79261E-01,-23.91
-5.00,200.00,-19.19,-8.13,-7.80,0.00527,74.37,RIGHT,8.51057E-02,-42.66,3.04145E-01,-43.82
0.00,200.00,-16.44,-7.66,-7.12,0.00000,70.00,LINEAR,1.16770E-01,-62.74,3.20822E-01,-62.74
-180.00,205.00,-14.60,-7.98,-7.12,0.00000,-65.00,LINEAR,1.44285E-01,-57.11,3.09421E-01,122.89
-175.00,205.00,-13.61,-8.42,-7.27,0.00420,-61.17,RIGHT,1.61841E-01,-37.48,2.94038E-01,143.09
-170.00,205.00,-13.10,-9.13,-7.66,0.02446,-57.68,RIGHT,1.71563E-01,-15.04,2.71054E-01,168.06
-165.00,205.00,-12.85,-9.89,-8.12,0.05968,-54.64,RIGHT,1.76552E-01,12.20,2.48155E-01,-160.57
-160.00,205.00,-12.33,-10.16,-8.11,0.10825,-52.26,RIGHT,1.87378E-01,45.17,2.40556E-01,-122.08
-155.00,205.00,-10.95,-9.30,-7.03,0.16255,-50.71,RIGHT,2.19820E-01,81.05,2.65792E-01,-80.14
-150.00,205.00,-8.74,-7.46,-5.04,0.21496,-49.62,RIGHT,2.83513E-01,114.54,3.28516E-01,-40.92
-145.00,205.00,-6.28,-5.34,-2.77,0.26710,-48.55,RIGHT,3.76436E-01,143.56,4.19196E-01,-6.34
-140.00,205.00,-3.96,-3.37,-0.64,0.32177,-47.39,RIGHT,4.91561E-01,169.10,5.26063E-01,24.87
-135.00,205.00,-1.91,-1.67,1.22,0.37931,-46.10,RIGHT,6.21907E-01,-167.41,6.40005E-01,54.16
-130.00,205.00,-0.16,-0.24,2.81,0.43875,-44.60,RIGHT,7.61397E-01,-144.97,7.54286E-01,82.41
-125.00,205.00,1.34,0.94,4.15,0.49847,-42.81,RIGHT,9.04487E-01,-123.00,8.63781E-01,110.07
-120.00,205.00,2.60,1.90,5.27,0.55646,-40.60,RIGHT,1.04572E+00,-101.15,9.64549E-01,137.34
-115.00,205.00,3.64,2.66,6.19,0.61042,-37.89,RIGHT,1.17942E+00,-79.26,1.05360E+00,164.26
-110.00,205.00,4.49,3.26,6.93,0.65814,-34.63,RIGHT,1.29959E+00,-57.25,1.12875E+00,-169.19
-105.00,205.00,5.13,3.71,7.49,0.69804,-30.95,RIGHT,1.40011E+00,-35.17,1.18846E+00,-143.12
-100.00,205.00,5.59,4.02,7.88,0.72985,-27.10,RIGHT,1.47506E+00,-13.08,1.23172E+00,-117.64
-95.00,205.00,5.84,4.20,8.11,0.75508,-23.52,RIGHT,1.51929E+00,8.86,1.25789E+00,-92.91
-90.00,205.00,5.90,4.26,8.17,0.77662,-20.65,RIGHT,1.52890E+00,30.49,1.26664E+00,-69.08
-85.00,205.00,5.74,4.20,8.05,0.79793,-18.90,RIGHT,1.50178E+00,51.61,1.25789E+00,-46.33
-80.00,205.00,5.37,4.02,7.76,0.82205,-18.73,RIGHT,1.43795E+00,71.99,1.23171E+00,-24.85
-75.00,205.00,4.75,3.71,7.27,0.85065,-20.97,RIGHT,1.33979E+00,91.39,1.18846E+00,-4.81
-70.00,205.00,3.88,3.26,6.59,0.88161,-27.74,RIGHT,1.21200E+00,109.52,1.12875E+00,13.57
-65.00,205.00,2.73,2.66,5.71,0.90047,-42.96,RIGHT,1.06147E+00,126.08,1.05360E+00,30.10
-60.00,205.00,1.26,1.90,4.60,0.87756,-62.03,RIGHT,8.96775E-01,140.71,9.64546E-01,44.52
-55.00,205.00,-0.55,0.94,3.27,0.81435,-73.51,RIGHT,7.27593E-01,152.99,8.63778E-01,56.57
-50.00,205.00,-2.77,-0.24,1.69,0.73151,-79.57,RIGHT,5.63870E-01,162.35,7.54283E-01,65.89
-45.00,205.00,-5.43,-1.67,-0.14,0.63975,-83.44,RIGHT,4.14882E-01,168.00,6.40002E-01,72.01
-40.00,205.00,-8.59,-3.37,-2.23,0.54468,-86.44,RIGHT,2.88238E-01,168.80,5.26060E-01,74.22
-35.00,205.00,-12.27,-5.34,-4.54,0.45027,-89.07,RIGHT,1.88866E-01,163.03,4.19194E-01,71.39
-30.00,205.00,-16.35,-7.46,-6.93,0.35828,88.51,RIGHT,1.18005E-01,148.24,3.28515E-01,61.86
-25.00,205.00,-20.55,-9.30,-8.98,0.26556,86.16,RIGHT,7.27926E-02,120.99,2.65794E-01,44.16
-20.00,205.00,-23.81,-10.16,-9.98,0.16953,83.15,RIGHT,4.99742E-02,75.90,2.40560E-01,20.06
-15.00,205.00,-23.26,-9.89,-9.70,0.08626,78.88,RIGHT,5.32614E-02,20.26,2.48160E-01,-4.41
-10.00,205.00,-19.93,-9.13,-8.78,0.03164,74.00,RIGHT,7.81924E-02,-18.88,2.71059E-01,-25.69
-5.00,205.00,-16.85,-8.42,-7.84,0.00479,69.26,RIGHT,1.11362E-01,-43.74,2.94042E-01,-44.57
0.00,205.00,-14.60,-7.98,-7.12,0.00000,65.00,LINEAR,1.44287E-01,-62.74,3.09424E-01,-62.74
-180.00,210.00,-13.14,-8.37,-7.12,0.00000,-60.00,LINEAR,1.70704E-01,-57.11,2.95668E-01,122.89
-175.00,210.00,-12.34,-8.79,-7.20,0.00362,-56.38,RIGHT,1.87368E-01,-38.26,2.81767E-01,142.19
-170.00,210.00,-11.95,-9.46,-7.52,0.02153,-53.13,RIGHT,1.95816E-01,-16.63,2.60983E-01,165.94
-165.00,210.00,-11.82,-10.21,-7.93,0.05244,-50.30,RIGHT,1.98915E-01,9.45,2.39381E-01,-164.45
-160.00,210.00,-11.50,-10.60,-8.02,0.09518,-48.05,RIGHT,2.06167E-01,40.91,2.28916E-01,-128.16
-155.00,210.00,-10.47,-10.02,-7.23,0.14431,-46.52,RIGHT,2.32306E-01,75.86,2.44465E-01,-87.69
-150.00,210.00,-8.61,-8.47,-5.53,0.19248,-45.49,RIGHT,2.87796E-01,109.65,2.92381E-01,-48.55
-145.00,210.00,-6.38,-6.51,-3.44,0.23959,-44.52,RIGHT,3.71871E-01,139.55,3.66300E-01,-13.50
-140.00,210.00,-4.21,-4.61,-1.39,0.28836,-43.44,RIGHT,4.77537E-01,165.92,4.55986E-01,18.13
-135.00,210.00,-2.26,-2.93,0.42,0.33955,-42.21,RIGHT,5.97361E-01,-169.97,5.52972E-01,47.67
