4NEC2 Output file:,/home/joea/.wine/drive_c/4nec2/out/owa_yagi_6el_circ.out
Zo:,50

THETA,PHI,VERT.,HOR.,TOTAL,AXIAL,TILT,SENSE,MAGNITUDE,PHASE,MAGNITUDE,PHASE
DEGREES,DEGREES,DB,DB,DB,RATIO,DEG.,VOLTS/M,DEGREES,VOLTS/M,DEGREES
-115.00,15.00,-20.54,-15.74,-14.49,0.57356,87.27,RIGHT,7.28729E-02,39.81,1.26666E-01,-47.01
-110.00,15.00,-20.31,-15.97,-14.60,0.60636,-89.12,RIGHT,7.48222E-02,69.42,1.23362E-01,-21.50
-105.00,15.00,-19.74,-15.93,-14.42,0.64153,-85.62,RIGHT,7.99157E-02,98.69,1.23841E-01,4.69
-100.00,15.00,-19.10,-15.77,-14.11,0.67313,-83.17,RIGHT,8.59744E-02,125.99,1.26157E-01,30.51
-95.00,15.00,-18.65,-15.62,-13.86,0.69608,-82.49,RIGHT,9.05895E-02,150.94,1.28406E-01,55.46
-90.00,15.00,-18.50,-15.56,-13.77,0.70680,-83.99,RIGHT,9.21460E-02,173.57,1.29304E-01,79.35
-85.00,15.00,-18.68,-15.62,-13.87,0.70168,-87.66,RIGHT,9.02144E-02,-166.28,1.28406E-01,102.03
-80.00,15.00,-19.13,-15.77,-14.12,0.67740,87.04,RIGHT,8.56545E-02,-149.06,1.26156E-01,123.30
-75.00,15.00,-19.67,-15.93,-14.40,0.63433,81.00,RIGHT,8.05619E-02,-135.29,1.23840E-01,143.00
-70.00,15.00,-19.97,-15.97,-14.51,0.57953,75.01,RIGHT,7.78174E-02,-124.71,1.23360E-01,161.26
-65.00,15.00,-19.75,-15.74,-14.28,0.52434,69.71,RIGHT,7.97832E-02,-115.40,1.26664E-01,178.82
-60.00,15.00,-19.02,-15.19,-13.68,0.47640,65.60,RIGHT,8.67540E-02,-104.55,1.34919E-01,-163.14
-55.00,15.00,-18.05,-14.38,-12.83,0.43525,62.89,RIGHT,9.70787E-02,-90.58,1.48027E-01,-143.52
-50.00,15.00,-17.06,-13.44,-11.88,0.39651,61.39,RIGHT,1.08705E-01,-73.59,1.64941E-01,-121.81
-45.00,15.00,-16.19,-12.47,-10.94,0.35684,60.71,RIGHT,1.20200E-01,-54.36,1.84396E-01,-98.14
-40.00,15.00,-15.45,-11.54,-10.06,0.31487,60.53,RIGHT,1.30834E-01,-33.75,2.05443E-01,-72.97
-35.00,15.00,-14.85,-10.65,-9.25,0.27030,60.68,RIGHT,1.40224E-01,-12.54,2.27582E-01,-46.88
-30.00,15.00,-14.39,-9.81,-8.51,0.22332,61.14,RIGHT,1.47865E-01,8.56,2.50539E-01,-20.52
-25.00,15.00,-14.11,-9.04,-7.86,0.17480,61.97,RIGHT,1.52777E-01,28.97,2.73841E-01,5.48
-20.00,15.00,-14.07,-8.35,-7.32,0.12651,63.29,RIGHT,1.53455E-01,48.32,2.96358E-01,30.57
-15.00,15.00,-14.37,-7.79,-6.93,0.08113,65.20,RIGHT,1.48168E-01,66.46,3.16072E-01,54.35
-10.00,15.00,-15.15,-7.41,-6.74,0.04215,67.79,RIGHT,1.35537E-01,83.52,3.30180E-01,76.64
